"","build","computer.platform","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","stimulusitem2","stimulusitem3","response","latency"
"1","5.0.7.0","win","17:48:59",4,"HCPrac",2,"likert_prac_hc",1,"white_background_prac_hc","+","scenes/hot_cold_prac01.jpg","3",3535
"2","5.0.7.0","win","17:48:59",4,"HCPrac",2,"likert_prac_hc",2,"white_background_prac_hc","+","scenes/hot_cold_prac02.jpg","1",1373
"3","5.0.7.0","win","17:48:59",4,"HCPrac",2,"likert_prac_hc",3,"white_background_prac_hc","+","scenes/hot_cold_prac03.jpg","4",4792
"4","5.0.7.0","win","17:48:59",4,"HCPrac",2,"likert_prac_hc",4,"white_background_prac_hc","+","scenes/hot_cold_prac04.jpg","1",2292
"5","5.0.7.0","win","17:48:59",4,"HC",3,"beginning_B1_hc_trial",1,"images/block1_inst.png","0","0","57",3366
"6","5.0.7.0","win","17:48:59",4,"HC",3,"reminder_hc_trial",2,"images/hot_cold_scale_reminder.jpg","0","0","57",9075
"7","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",3,"white_background_main_hc","+","scenes/beach_130.jpg","2",2462
"8","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",4,"white_background_main_hc","+","scenes/beach_077.jpg","3",1767
"9","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",5,"white_background_main_hc","+","scenes/station_030.jpg","3",1547
"10","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",6,"white_background_main_hc","+","scenes/beach_080.jpg","1",2745
"11","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",7,"white_background_main_hc","+","scenes/beach_133.jpg","3",2390
"12","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",8,"white_background_main_hc","+","scenes/forest_015.jpg","3",1169
"13","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",9,"white_background_main_hc","+","scenes/city_019.jpg","3",1910
"14","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",10,"white_background_main_hc","+","scenes/beach_049.jpg","1",1173
"15","5.0.7.0","win","17:48:59",4,"HC",3,"likert_hc",11,"white_background_main_hc","+","scenes/station_056.jpg","1",681
